District,Cases,Recovered,Deaths
Morang,551,218,5
Jhapa,395,322,0
Sunsari,202,118,0
Udayapur,97,82,0
Ilam,80,28,0
Okhaldhunga,23,19,0
Dhankuta,16,15,0
Khotang,16,15,0
Taplejung,15,7,0
Terhathum,10,8,0
Solukhumbu,9,7,0
Panchthar,8,7,0
Bhojpur,8,6,0
Sankhuwasabha,6,6,0
Rautahat,1542,750,2
Parsa,1123,176,18
Mahottari,926,344,0
Sarlahi,902,628,2
Dhanusa,843,580,4
Saptari,574,353,2
Bara,285,141,3
Siraha,270,192,1
Kathmandu,911,110,5
Dhading,155,125,0
Chitwan,139,81,2
Lalitpur,138,30,1
Bhaktapur,85,31,0
Sindhupalchok,72,35,2
Makwanpur,59,21,0
Nuwakot,54,21,0
Ramechhap,47,20,0
Kavrepalanchok,34,23,0
Sindhuli,25,17,0
Dolakha,15,9,1
Rasuwa,12,11,0
Nawalpur,347,301,0
Syangja,314,192,2
Baglung,263,220,1
Tanahun,187,161,0
Kaski,168,104,1
Gorkha,136,100,1
Lamjung,119,93,0
Parbat,104,92,0
Myagdi,51,41,1
Manang,1,1,0
Mustang,1,1,0
Kapilvastu,868,747,1
Dang,706,559,1
Banke,578,415,2
Palpa,569,556,1
Gulmi,379,350,3
Rupandehi,370,311,1
Arghakhanchi,345,320,1
Pyuthan,343,331,0
Bardiya,257,200,0
Parasi,132,125,0
Rolpa,73,51,0
East Rukum,12,8,0
Dailekh,946,805,1
Surkhet,602,551,2
Salyan,270,193,0
Kalikot,79,54,0
Jumla,76,68,0
West Rukum,42,31,0
Jajarkot,28,12,0
Mugu,12,4,0
Dolpa,5,2,1
Humla,4,2,0
Kailali,1270,530,4
Doti,768,537,0
Achham,729,556,1
Bajura,622,253,1
Kanchanpur,575,483,0
Baitadi,328,300,0
Dadeldhura,312,267,0
Bajhang,295,107,1
Darchula,39,13,0
